index,search_results,rank
255,7,5
256,4,3
257,8,6
258,5,3
259,5,0
260,9,5
261,10,8
262,11,7
263,8,5
264,6,4
265,6,6
266,11,8
267,7,4
268,7,0
269,3,2
270,3,3
271,9,9
272,9,0
273,8,4
274,10,7
275,12,8
276,5,0
277,7,4
278,11,0
279,8,5
280,5,0
281,6,0
282,10,7
283,3,2
284,3,1
285,10,0
286,9,5
287,6,4
288,4,0
289,3,3
290,10,8
291,11,0
292,1,0
293,2,0
294,7,0
295,7,6
296,8,4
297,9,0
298,9,8
299,7,0
300,6,5
301,2,0
302,4,0
303,7,7
304,5,4
305,4,1
306,7,6
307,6,5
308,10,8
309,5,5
310,4,0
311,11,10
312,7,0
313,8,4
314,8,0
315,8,5
316,5,0
317,9,5
318,3,2
319,3,3
320,7,4
321,13,9
322,2,0
323,6,5
324,6,5
325,6,0
326,9,5
327,4,4
328,9,9
329,6,6
330,2,2
331,7,6
332,8,6
333,7,6
334,7,0
335,4,2
336,5,5
337,6,0
338,7,0
339,6,0
340,8,6
341,9,6
342,6,4
343,6,0
344,6,5
345,7,0
346,9,5
347,4,0
348,8,4
349,7,7
350,9,0
351,8,7
352,9,0
353,10,7
354,8,5
355,11,8
356,8,4
357,7,6
358,8,8
359,8,6
360,4,3
361,11,8
362,7,4
363,11,7
364,5,2
365,14,10
366,6,6
367,7,4
368,9,5
369,9,0
370,8,0
371,6,0
372,10,6
373,5,3
374,7,0
375,8,7
376,8,8
377,5,4
378,10,7
379,7,3
380,7,0
381,4,4
382,0,0
383,2,1
384,1,0
385,11,0
386,5,5
387,8,0
388,12,8
389,3,3
390,7,5
391,5,3
392,8,0
393,2,1
394,8,7
395,2,2
396,8,4
397,7,0
398,9,0
399,10,9
400,6,4
401,2,0
402,7,0
403,10,6
404,3,3
405,6,4
406,3,0
407,6,0
408,10,8
409,9,7
410,5,0
411,7,6
412,9,9
413,4,3
414,9,8
415,11,7
416,8,6
417,12,10
418,9,5
419,9,5
420,6,5
421,7,5
422,4,4
423,13,10
424,7,3
425,2,2
426,6,0
427,5,4
428,8,4
429,8,0
430,8,0
431,4,4
432,10,7
433,7,4
434,5,2
435,6,2
436,6,3
437,7,0
438,8,0
439,9,6
440,2,0
441,8,8
442,7,5
443,6,4
444,6,0
445,11,7
446,7,6
447,7,0
448,5,4
449,2,2
450,6,4
451,1,0
452,13,9
453,5,3
454,3,1
455,9,5
456,4,4
457,8,6
458,5,5
459,8,8
460,5,5
461,9,7
462,7,0
463,2,1
464,9,0
465,4,4
466,5,0
467,6,2
468,15,12
469,8,5
470,12,0
471,6,6
472,4,1
473,9,0
474,5,2
475,6,4
476,9,0
477,9,8
478,6,4
479,2,2
480,3,1
481,10,8
482,9,8
483,5,4
484,2,1
485,13,9
486,6,4
487,2,2
488,5,4
489,4,3
490,10,0
491,9,9
492,5,0
493,6,0
494,8,5
495,15,11
496,10,0
497,7,6
498,2,2
499,11,0
500,7,7
501,6,6
502,5,5
503,5,0
504,7,5
505,7,3
506,6,0
507,7,7
508,5,4
509,4,0
510,9,6
511,6,6
512,5,3
513,6,0
514,9,6
515,10,6
516,6,6
517,9,6
518,4,0
519,6,5
520,6,2
521,7,5
522,6,3
523,3,3
524,8,5
525,15,11
526,10,7
527,11,0
528,8,4
529,5,0
530,7,4
531,6,5
532,4,0
533,8,4
534,9,0
535,10,6
536,11,8
537,8,4
538,5,3
539,1,0
540,7,4
541,4,1
542,7,0
543,5,0
544,8,5
545,7,6
546,6,6
547,4,4
548,8,4
549,5,0
550,3,0
551,9,9
552,9,7
553,7,5
554,8,4
555,5,0
556,8,0
557,4,0
558,4,3
559,7,7
560,9,0
561,13,10
562,8,4
563,9,0
564,7,6
565,7,6
566,9,8
567,5,4
568,7,3
569,5,0
570,13,0
571,9,7
572,6,2
573,6,0
574,5,4
575,8,6
576,12,0
577,14,0
578,7,4
579,8,7
580,10,7
581,7,3
582,8,7
583,8,5
584,3,0
585,13,0
586,7,6
587,6,3
588,7,0
589,3,3
590,5,2
591,12,8
592,6,4
593,6,5
594,5,4
595,6,3
596,7,4
597,3,3
598,15,11
599,7,6
600,6,5
601,7,0
602,6,0
603,4,3
604,6,0
605,6,4
606,6,5
607,4,3
608,11,7
609,4,3
610,6,6
611,8,7
612,2,0
613,9,6
614,5,4
615,4,2
616,5,0
617,7,5
618,7,5
619,3,3
620,6,5
621,13,0
622,3,2
623,7,6
624,5,5
625,3,0
626,6,4
627,12,0
628,4,1
629,9,8
630,4,0
631,5,0
632,4,4
633,13,11
634,6,3
635,7,4
636,3,3
637,3,3
638,11,8
639,4,1
640,7,5
641,10,7
642,4,0
643,10,7
644,9,5
645,10,7
646,5,5
647,7,7
648,9,0
649,5,0
650,8,5
651,14,11
652,11,7
653,8,6
654,5,3
655,1,0
656,13,10
657,8,5
658,8,5
659,3,0
660,6,4
661,6,2
662,2,2
663,7,7
664,5,0
665,4,1
666,4,0
667,11,0
668,7,5
669,6,5
670,6,4
671,7,0
672,7,0
673,5,3
674,6,3
675,6,6
676,8,0
677,5,4
678,10,0
679,7,0
680,5,5
681,5,0
682,5,4
683,13,10
684,6,6
685,2,2
686,7,4
687,5,3
688,2,2
689,6,0
690,7,6
691,8,5
692,11,10
693,9,5
694,6,5
695,7,4
696,7,4
697,6,0
698,10,6
699,4,4
700,4,2
701,10,9
702,5,5
703,12,9
704,5,0
705,5,5
706,5,1
707,8,5
708,11,0
709,7,6
710,3,2
711,6,0
712,6,5
713,4,4
714,6,6
715,6,0
716,7,6
717,6,5
718,6,4
719,8,7
720,7,0
721,8,7
722,9,0
723,8,4
724,8,8
725,7,0
726,7,3
727,7,0
728,10,0
729,8,0
730,6,4
731,3,3
732,7,3
733,5,0
734,3,2
735,8,0
736,3,2
737,5,5
738,2,2
739,10,6
740,5,0
741,8,5
742,2,2
743,9,6
744,8,6
745,8,7
746,8,6
747,10,6
748,7,4
749,7,4
750,8,7
751,6,0
752,5,5
753,10,0
754,8,4
755,2,2
756,5,3
757,5,4
758,10,6
759,10,9
760,4,3
761,8,5
762,5,3
763,2,2
764,7,0
765,11,0
766,6,4
767,7,5
768,12,8
769,11,0
770,5,5
771,6,3
772,10,9
773,4,2
774,9,8
775,10,7
776,6,6
777,10,9
778,4,3
779,10,6
780,10,7
781,8,7
782,8,5
783,5,5
784,2,1
785,7,7
786,5,4
787,9,7
788,9,5
789,9,5
790,7,3
791,5,5
792,8,5
793,8,4
794,4,0
795,4,3
796,7,5
797,10,10
798,3,2
799,6,0
800,5,3
801,6,4
802,9,6
803,6,0
804,7,4
805,5,4
806,7,5
807,8,8
808,8,5
809,10,6
810,4,3
811,4,4
812,6,5
813,9,6
814,8,7
815,8,5
816,3,2
817,9,6
818,6,4
819,4,2
820,6,0
821,4,0
822,5,3
823,8,4
824,8,7
825,7,5
826,9,0
827,11,7
828,10,9
829,8,7
830,9,0
831,9,6
832,11,9
833,2,2
834,6,3
835,9,0
836,6,3
837,12,0
838,9,5
839,8,4
840,9,9
841,4,2
842,8,5
843,13,0
844,5,5
845,8,4
846,9,0
847,6,3
848,8,6
849,5,3
850,4,3
851,6,4
852,2,1
853,2,0
854,8,4
855,6,5
856,10,8
857,11,7
858,9,0
859,4,0
860,7,6
861,8,8
862,8,0
863,5,0
864,6,4
865,8,4
866,1,1
867,8,6
868,8,0
869,7,7
870,11,7
871,10,6
872,9,6
873,4,0
874,5,3
875,10,0
876,5,3
877,10,10
878,9,5
879,9,0
880,6,0
881,6,4
882,9,6
883,5,5
884,7,0
885,2,2
886,4,3
887,4,2
888,12,0
889,11,7
890,5,0
891,6,0
892,7,0
893,9,6
894,8,0
895,4,1
896,8,0
897,10,9
898,6,4
899,8,7
900,7,3
901,8,7
902,7,0
903,6,6
904,12,8
905,2,2
906,8,0
907,11,9
908,4,4
909,6,0
910,5,0
911,5,4
912,8,4
913,9,6
914,10,7
915,3,3
916,8,6
917,9,8
918,11,7
919,3,3
920,6,4
921,9,6
922,11,8
923,7,3
924,8,0
925,7,3
926,8,0
927,5,1
928,3,3
929,8,7
930,7,5
931,12,9
932,5,0
933,6,4
934,9,0
935,10,7
936,3,3
937,10,6
938,9,0
939,5,4
940,6,4
941,4,0
942,4,3
943,5,4
944,6,2
945,9,7
946,6,6
947,8,7
948,9,5
949,5,4
950,7,5
951,7,4
952,7,7
953,8,5
954,8,6
955,8,5
956,4,2
957,6,4
958,8,4
959,9,6
960,12,0
961,8,6
962,11,8
963,6,0
964,3,3
965,6,0
966,4,0
967,11,8
968,7,6
969,5,4
970,9,0
971,4,0
972,9,7
973,5,0
974,9,0
975,7,4
976,4,0
977,4,0
978,8,6
979,4,2
980,4,0
981,8,7
982,8,7
983,9,6
984,9,8
985,11,7
986,6,5
987,8,6
988,8,6
989,7,7
990,9,0
991,3,3
992,5,0
993,3,0
994,5,5
995,7,3
996,10,9
997,12,0
998,8,0
999,6,0
1000,7,3
1001,3,2
1002,7,0
1003,4,4
1004,9,0
1005,12,0
1006,6,6
1007,3,0
1008,8,5
1009,8,6
1010,6,0
1011,10,0
1012,9,0
1013,8,5
1014,5,4
1015,2,2
1016,9,6
1017,5,5
1018,10,6
1019,7,0
1020,7,3
1021,11,0
1022,6,0
1023,2,0
1024,10,6
1025,8,4
1026,7,6
1027,5,4
1028,5,0
1029,3,0
1030,7,5
1031,5,4
1032,3,3
1033,8,0
1034,5,0
1035,6,3
1036,6,0
1037,8,8
1038,6,5
1039,7,4
1040,7,4
1041,5,4
1042,4,4
1043,8,7
1044,12,8
1045,11,7
1046,7,3
1047,9,6
1048,9,6
1049,4,0
1050,8,6
1051,10,9
1052,8,0
1053,7,0
1054,7,0
1055,10,7
1056,4,4
1057,4,0
1058,7,4
1059,9,5
1060,7,3
1061,8,5
1062,5,3
1063,5,5
1064,5,0
1065,8,5
1066,6,6
1067,7,6
1068,6,6
1069,9,5
1070,10,0
1071,4,3
1072,5,0
1073,11,0
1074,4,2
1075,8,0
1076,8,0
1077,6,2
1078,9,5
1079,9,5
1080,6,4
1081,9,6
1082,12,8
1083,7,4
1084,5,3
1085,8,6
1086,5,4
1087,3,2
1088,7,3
1089,4,1
1090,11,0
1091,5,5
1092,4,3
1093,5,4
1094,3,0
1095,7,4
1096,9,6
1097,7,4
1098,6,2
1099,10,6
1100,3,0
1101,8,6
1102,2,2
1103,10,8
1104,3,3
1105,10,0
1106,7,4
1107,6,5
1108,6,6
1109,1,1
1110,6,0
1111,7,0
1112,9,0
1113,7,0
1114,8,7
1115,7,4
1116,6,0
1117,9,8
1118,7,4
1119,8,5
1120,8,5
1121,4,3
1122,9,9
1123,10,8
1124,7,0
1125,5,3
1126,8,5
1127,8,5
1128,5,5
1129,6,3
1130,9,7
1131,4,3
1132,1,0
1133,6,6
1134,8,0
1135,7,4
1136,9,5
1137,9,0
1138,5,5
1139,8,4
1140,4,3
1141,7,6
1142,3,2
1143,10,6
1144,9,6
1145,9,6
1146,7,5
1147,5,0
1148,5,4
1149,8,0
1150,5,0
1151,7,0
1152,8,4
1153,7,5
1154,8,0
1155,8,5
1156,11,7
1157,5,0
1158,6,2
1159,4,0
1160,7,4
1161,10,6
1162,7,3
1163,5,0
1164,9,0
1165,8,0
1166,6,5
1167,4,0
1168,12,10
1169,5,0
1170,6,0
1171,5,4
1172,7,7
1173,7,3
1174,10,6
1175,5,2
1176,5,0
1177,8,4
1178,4,4
1179,12,8
1180,7,5
1181,10,8
1182,7,5
1183,9,7
1184,10,0
1185,6,3
1186,6,0
1187,9,6
1188,7,4
1189,8,0
1190,6,6
1191,4,2
1192,4,4
1193,3,2
1194,11,0
1195,8,0
1196,5,0
1197,7,5
1198,7,0
1199,11,0
1200,8,0
1201,10,0
1202,9,6
1203,5,5
1204,6,0
1205,12,8
1206,9,7
1207,4,0
1208,6,5
1209,8,8
1210,6,5
1211,4,2
1212,5,0
1213,11,7
1214,3,3
1215,12,8
1216,2,1
1217,7,5
1218,5,3
1219,8,5
1220,8,0
1221,6,0
1222,7,7
1223,3,0
1224,8,4
1225,7,5
1226,6,4
1227,6,0
1228,6,0
1229,8,4
1230,5,0
1231,7,5
1232,10,7
1233,10,0
1234,9,6
1235,12,8
1236,7,5
1237,5,0
1238,7,4
1239,10,6
1240,6,0
1241,6,3
1242,7,0
1243,9,5
1244,10,6
1245,2,2
1246,10,0
1247,6,0
1248,6,3
1249,4,4
1250,5,2
1251,10,6
1252,9,0
1253,8,5
1254,10,6
1255,7,5
1256,9,5
1257,6,6
1258,5,4
1259,5,4
1260,6,5
1261,7,5
1262,5,0
1263,7,0
1264,9,7
1265,9,0
1266,4,4
1267,5,0
1268,9,9
1269,8,6
1270,10,0
1271,4,4
1272,9,7
1273,6,6
1274,7,6
1275,3,2
1276,7,0
1277,7,4
1278,8,7
1279,9,8
1280,10,6
1281,3,3
1282,4,4
1283,6,0
1284,3,3
1285,7,5
1286,9,0
1287,9,8
1288,8,5
1289,7,5
1290,9,8
1291,6,5
1292,4,0
1293,4,0
1294,8,7
1295,5,0
1296,5,4
1297,8,5
1298,5,3
1299,8,5
1300,4,4
1301,10,6
1302,6,5
1303,5,5
1304,6,0
1305,6,5
1306,4,3
1307,7,3
1308,8,5
1309,8,4
1310,7,3
1311,6,4
1312,3,2
1313,7,6
1314,10,7
1315,6,3
1316,7,5
1317,6,4
1318,8,0
1319,9,6
1320,6,0
1321,3,2
1322,6,5
1323,2,2
1324,10,7
1325,7,0
1326,7,5
1327,7,7
1328,5,5
1329,10,7
1330,3,1
1331,4,3
1332,6,4
1333,10,9
1334,7,4
1335,7,5
1336,6,6
1337,10,0
1338,3,0
1339,4,3
1340,8,5
1341,9,7
1342,9,6
1343,9,0
1344,5,4
1345,10,7
1346,6,4
1347,8,8
1348,8,5
1349,7,0
1350,6,4
1351,6,5
1352,5,2
1353,4,3
1354,7,0
1355,5,5
1356,8,6
1357,10,7
1358,4,2
1359,10,7
1360,6,5
1361,5,5
1362,7,7
1363,7,6
1364,9,0
1365,4,0
1366,11,7
1367,8,5
1368,6,5
1369,9,6
1370,11,0
1371,5,4
1372,9,6
1373,5,4
1374,5,0
1375,7,3
1376,7,4
1377,5,5
1378,5,0
1379,7,5
1380,4,2
1381,5,2
1382,5,5
1383,6,0
1384,9,0
1385,9,6
1386,5,4
1387,10,9
1388,8,7
1389,2,2
1390,4,0
1391,4,4
1392,6,6
1393,8,7
1394,8,4
1395,6,0
1396,9,5
1397,6,3
1398,5,0
1399,10,0
1400,3,3
1401,11,0
1402,10,0
1403,7,5
1404,9,5
1405,6,3
1406,3,3
1407,6,6
1408,9,5
1409,8,4
1410,9,6
1411,7,3
1412,14,12
1413,1,0
1414,8,6
1415,2,0
1416,8,6
1417,1,1
1418,5,4
1419,6,3
1420,4,3
1421,9,5
1422,5,5
1423,9,5
1424,11,9
1425,6,0
1426,3,3
1427,9,6
1428,6,0
1429,7,3
1430,9,7
1431,5,4
1432,4,1
1433,7,7
1434,7,7
1435,5,2
1436,6,5
1437,8,0
1438,9,9
1439,3,0
1440,7,4
1441,13,0
1442,4,4
1443,4,4
1444,4,4
1445,11,7
1446,8,8
1447,8,6
1448,8,6
1449,4,3
1450,8,5
1451,7,6
1452,2,0
1453,11,0
1454,5,0
1455,7,0
1456,8,4
1457,6,2
1458,9,5
1459,6,5
1460,7,4
1461,3,2
1462,7,4
1463,4,4
1464,5,1
1465,12,8
1466,7,4
1467,11,10
1468,7,6
1469,5,3
1470,10,0
1471,8,4
1472,4,0
1473,6,0
1474,4,3
1475,7,5
1476,6,0
1477,7,0
1478,5,3
1479,10,6
1480,5,5
1481,9,5
1482,5,4
1483,4,4
1484,8,6
1485,7,0
1486,9,6
1487,8,4
1488,8,5
1489,9,5
1490,5,0
1491,6,5
1492,5,3
1493,5,4
1494,10,6
1495,9,0
1496,2,0
1497,4,3
1498,8,4
1499,7,6
1500,7,0
1501,6,3
1502,17,14
1503,8,5
1504,4,0
1505,8,5
1506,5,5
1507,10,7
1508,10,7
1509,11,7
1510,5,2
1511,6,5
1512,6,3
1513,9,7
1514,6,2
1515,10,6
1516,7,4
1517,10,8
1518,8,5
1519,2,1
1520,6,0
1521,7,3
1522,8,6
1523,8,8
1524,6,4
1525,4,3
1526,8,6
1527,6,6
1528,9,8
1529,7,6
1530,6,0
1531,8,0
1532,6,0
1533,6,5
1534,7,5
1535,6,6
1536,15,11
1537,8,8
1538,9,7
1539,8,7
1540,6,4
1541,12,8
1542,7,6
1543,6,2
1544,7,4
1545,0,0
1546,9,0
1547,2,0
1548,10,0
1549,9,9
1550,8,7
1551,6,2
1552,5,4
1553,11,8
1554,7,5
1555,8,0
1556,6,6
1557,2,2
1558,6,4
1559,8,7
1560,3,0
1561,6,6
1562,4,2
1563,9,0
1564,13,10
1565,9,5
1566,6,4
1567,5,4
1568,12,8
1569,11,0
1570,10,7
1571,10,7
1572,4,0
1573,9,0
1574,10,7
1575,5,2
1576,7,5
1577,8,7
1578,10,6
1579,4,1
1580,7,3
1581,5,4
1582,5,4
1583,3,3
1584,10,7
1585,10,9
1586,5,4
1587,6,3
1588,4,0
1589,4,4
1590,6,0
1591,3,3
1592,12,0
1593,8,5
1594,8,0
1595,6,3
1596,2,2
1597,7,0
1598,6,0
1599,6,4
1600,9,6
1601,7,0
1602,7,4
1603,7,0
1604,4,0
1605,5,2
1606,7,3
1607,8,8
1608,6,5
1609,6,6
1610,3,0
1611,5,3
1612,3,3
1613,7,7
1614,7,0
1615,3,2
1616,6,2
1617,8,0
1618,11,8
1619,7,4
1620,7,4
1621,6,4
1622,4,3
1623,4,4
1624,9,6
1625,6,0
1626,5,5
1627,4,0
1628,8,6
1629,7,4
1630,6,0
1631,8,5
1632,10,0
1633,10,8
1634,0,0
1635,8,5
1636,4,4
1637,6,6
1638,6,4
1639,10,7
1640,4,2
1641,5,3
1642,7,3
1643,7,0
1644,10,6
1645,9,0
1646,6,6
1647,8,0
1648,3,2
1649,2,2
1650,11,8
1651,9,0
1652,10,8
1653,8,7
1654,6,6
1655,5,2
1656,7,7
1657,9,6
1658,6,5
1659,8,6
1660,6,4
1661,4,4
1662,7,4
1663,6,5
1664,7,0
1665,10,7
1666,5,2
1667,5,4
1668,4,1
1669,8,6
1670,1,1
1671,10,6
1672,9,0
1673,2,0
1674,8,0
1675,1,1
1676,4,0
1677,10,6
1678,11,0
1679,10,0
1680,4,3
1681,8,7
1682,8,6
1683,5,0
1684,10,7
1685,4,4
1686,8,7
1687,3,1
1688,5,0
1689,6,2
1690,10,6
1691,9,8
1692,8,6
1693,0,0
1694,11,10
1695,2,2
1696,8,5
1697,8,8
1698,8,5
1699,6,0
1700,4,3
1701,7,0
1702,9,7
1703,5,3
1704,3,3
1705,6,2
1706,6,0
1707,10,0
1708,6,4
1709,2,0
1710,4,3
1711,12,10
1712,7,3
1713,8,6
1714,7,4
1715,7,5
1716,3,3
1717,11,7
1718,5,5
1719,2,2
1720,8,0
1721,5,3
1722,3,0
1723,7,7
1724,8,6
1725,4,3
1726,5,0
1727,8,7
1728,8,4
1729,7,4
1730,3,3
1731,8,6
1732,8,0
1733,6,0
1734,10,7
1735,4,4
1736,6,3
1737,5,0
1738,8,5
1739,8,8
1740,9,0
1741,6,5
1742,3,3
1743,6,3
1744,6,6
1745,9,5
1746,10,7
1747,7,6
1748,10,8
1749,9,8
1750,8,8
1751,11,0
1752,9,5
1753,6,3
1754,7,0
1755,9,5
1756,6,6
1757,8,7
1758,6,4
1759,10,6
1760,13,0
1761,3,3
1762,9,7
1763,11,0
1764,3,2
1765,6,0
1766,6,0
1767,7,4
1768,4,3
1769,6,3
1770,5,1
1771,7,7
1772,8,4
1773,9,0
1774,8,0
1775,9,6
1776,6,3
1777,12,8
1778,6,6
1779,9,5
1780,3,3
1781,14,0
1782,9,7
1783,7,6
1784,9,6
1785,10,6
1786,10,6
1787,5,0
1788,9,8
1789,9,6
1790,9,8
1791,14,13
1792,7,0
1793,1,0
1794,4,0
1795,2,2
1796,9,0
1797,5,4
1798,7,0
1799,8,8
1800,9,6
1801,6,0
1802,5,2
1803,10,6
1804,6,0
1805,9,0
1806,3,0
1807,8,6
1808,9,0
1809,8,0
1810,7,7
1811,8,4
1812,2,0
1813,13,0
1814,4,1
1815,9,6
1816,4,0
1817,7,5
1818,8,6
1819,9,0
1820,5,4
1821,8,5
1822,14,0
1823,9,5
1824,7,7
1825,8,6
1826,7,4
1827,7,3
1828,6,5
1829,7,4
1830,4,4
1831,8,0
1832,6,2
1833,7,7
1834,4,0
1835,6,5
1836,10,0
1837,8,8
1838,6,5
1839,3,0
1840,6,0
1841,7,5
1842,9,0
1843,7,0
1844,6,0
1845,14,0
1846,4,2
1847,10,6
1848,9,0
1849,7,4
1850,13,11
1851,9,0
1852,5,4
1853,4,1
1854,15,11
1855,3,3
1856,4,2
1857,10,0
1858,6,0
1859,1,1
1860,8,6
1861,7,0
1862,13,9
1863,6,4
1864,12,0
1865,7,5
1866,5,2
1867,12,8
1868,4,2
1869,10,7
1870,9,9
1871,4,3
1872,6,0
1873,9,6
1874,10,7
1875,4,0
1876,10,9
1877,7,5
1878,8,5
1879,6,0
1880,7,6
1881,6,6
1882,6,0
1883,6,6
1884,11,8
1885,7,4
1886,10,6
1887,8,0
1888,9,0
1889,9,0
1890,8,7
1891,2,0
1892,8,0
1893,8,0
1894,8,7
1895,4,0
1896,4,4
1897,5,3
1898,4,0
1899,6,2
1900,10,10
1901,5,3
1902,2,2
1903,10,6
1904,6,0
1905,8,6
1906,3,2
1907,7,4
1908,13,9
1909,13,10
1910,9,0
1911,2,2
1912,6,3
1913,9,7
1914,7,6
1915,8,0
1916,3,0
1917,11,0
1918,8,6
1919,9,0
1920,9,7
1921,5,3
1922,5,3
1923,5,4
1924,5,5
1925,5,2
1926,5,4
1927,10,7
1928,5,5
1929,10,6
1930,4,4
1931,9,0
1932,6,0
1933,9,6
1934,6,4
1935,7,3
1936,10,6
1937,7,7
1938,12,8
1939,10,9
1940,7,5
1941,4,4
1942,6,0
1943,10,7
1944,7,4
1945,11,8
1946,11,8
1947,1,1
1948,6,0
1949,5,0
1950,6,3
1951,3,2
1952,10,0
1953,9,8
1954,7,3
1955,7,4
1956,16,12
1957,7,3
1958,6,3
1959,4,4
1960,4,0
1961,6,4
1962,6,0
1963,6,4
1964,6,3
1965,9,0
1966,2,2
1967,6,3
1968,7,7
1969,7,3
1970,8,7
1971,6,5
1972,5,2
1973,12,9
1974,7,4
1975,4,0
1976,5,0
1977,3,2
1978,9,0
1979,12,0
1980,10,0
1981,7,0
1982,4,0
1983,8,4
1984,6,5
1985,11,8
1986,6,0
1987,7,3
1988,4,1
1989,7,0
1990,9,0
1991,7,4
1992,7,4
1993,8,4
1994,13,0
1995,3,1
1996,7,3
1997,7,4
1998,5,3
1999,5,3
2000,9,8
2001,14,0
2002,7,4
2003,6,0
2004,6,3
2005,8,4
2006,5,2
2007,8,0
2008,5,2
2009,12,11
2010,8,5
2011,8,5
2012,4,0
2013,7,4
2014,5,4
2015,5,3
2016,6,5
2017,12,9
2018,9,5
2019,2,2
2020,10,6
2021,7,7
2022,5,5
2023,11,7
2024,10,7
2025,9,0
2026,11,7
2027,5,0
2028,4,4
2029,5,4
2030,5,3
2031,8,7
2032,10,0
2033,5,3
2034,11,7
2035,9,8
2036,7,0
2037,8,4
2038,8,7
2039,2,1
2040,4,4
2041,2,2
2042,4,2
2043,7,5
2044,8,6
2045,5,5
2046,8,4
2047,8,5
2048,10,0
2049,5,4
2050,2,2
2051,10,0
2052,7,4
2053,4,0
2054,4,4
2055,4,4
2056,6,6
2057,7,4
2058,6,0
2059,11,9
2060,5,3
2061,3,3
2062,10,8
2063,6,6
2064,4,1
2065,9,7
2066,8,5
2067,9,7
2068,9,5
2069,6,2
2070,9,6
2071,9,0
2072,9,0
2073,6,6
2074,6,5
2075,10,0
2076,7,0
2077,4,0
2078,9,5
2079,12,0
2080,14,10
2081,7,5
2082,7,3
2083,8,7
2084,4,2
2085,8,6
2086,9,6
2087,10,0
2088,6,0
2089,1,0
2090,9,6
2091,5,4
2092,8,6
2093,3,3
2094,8,6
2095,3,3
2096,6,5
2097,6,2
2098,4,4
2099,9,7
2100,8,6
2101,9,0
2102,8,0
2103,5,0
2104,1,0
2105,8,0
2106,8,5
2107,3,2
2108,3,0
2109,9,6
2110,12,9
2111,9,6
2112,7,4
2113,2,2
2114,8,6
2115,10,7
2116,3,2
2117,8,6
2118,8,0
2119,8,4
2120,6,6
2121,10,6
2122,2,1
2123,11,7
2124,9,6
2125,7,5
2126,5,3
2127,10,7
2128,6,4
2129,2,2
2130,10,7
2131,8,0
2132,10,8
2133,11,7
2134,6,5
2135,8,4
2136,3,3
2137,12,9
2138,7,4
2139,8,8
